Student: 0.0, Chaotic: NaN, Goal: NaN, Queue: 0.0, tick: 1.0, run: 1
Student: 8.5, Chaotic: NaN, Goal: 4.0, Queue: 13.0, tick: 16.0, run: 1
Student: 13.5, Chaotic: NaN, Goal: 9.0, Queue: 27.0, tick: 31.0, run: 1
Student: 23.0, Chaotic: NaN, Goal: 23.0, Queue: 23.0, tick: 46.0, run: 1
Student: 23.666666666666668, Chaotic: NaN, Goal: 17.0, Queue: 37.0, tick: 61.0, run: 1
Student: 31.42857142857143, Chaotic: 4.0, Goal: 28.0, Queue: 52.0, tick: 76.0, run: 1
Student: 24.714285714285715, Chaotic: 14.0, Goal: 29.0, Queue: 29.0, tick: 91.0, run: 1
Student: 28.71428571428571, Chaotic: 28.0, Goal: 23.0, Queue: 38.0, tick: 106.0, run: 1
Student: 27.0, Chaotic: 28.0, Goal: 12.0, Queue: 48.0, tick: 121.0, run: 1
Student: 21.285714285714285, Chaotic: 17.0, Goal: 18.0, Queue: 44.0, tick: 136.0, run: 1
Student: 25.777777777777782, Chaotic: 28.0, Goal: 20.0, Queue: 48.0, tick: 151.0, run: 1
Student: 26.125, Chaotic: 24.0, Goal: 21.0, Queue: 53.0, tick: 166.0, run: 1
Student: 25.111111111111107, Chaotic: 32.0, Goal: 26.0, Queue: 0.0, tick: 181.0, run: 1
Student: 26.77777777777778, Chaotic: 41.0, Goal: 28.0, Queue: 3.0, tick: 196.0, run: 1
Student: 29.0, Chaotic: 43.0, Goal: 25.0, Queue: 9.0, tick: 211.0, run: 1
Student: 30.800000000000004, Chaotic: 46.0, Goal: 16.0, Queue: 15.0, tick: 226.0, run: 1
Student: 34.45454545454545, Chaotic: 57.0, Goal: 19.0, Queue: 9.0, tick: 241.0, run: 1
Student: 40.63636363636363, Chaotic: 67.0, Goal: 22.0, Queue: 2.0, tick: 256.0, run: 1
Student: 44.5, Chaotic: 62.0, Goal: 24.0, Queue: 4.0, tick: 271.0, run: 1
Student: 43.75000000000001, Chaotic: 58.0, Goal: 28.0, Queue: 7.0, tick: 286.0, run: 1
Student: 50.33333333333333, Chaotic: 63.0, Goal: 25.0, Queue: NaN, tick: 301.0, run: 1
Student: 48.18181818181818, Chaotic: 65.0, Goal: 25.0, Queue: 0.0, tick: 316.0, run: 1
Student: 47.00000000000001, Chaotic: 74.0, Goal: 28.0, Queue: 3.0, tick: 331.0, run: 1
Student: 43.33333333333333, Chaotic: 77.0, Goal: 15.0, Queue: 7.0, tick: 346.0, run: 1
Student: 38.15384615384615, Chaotic: 77.0, Goal: 17.0, Queue: 12.0, tick: 361.0, run: 1
Student: 38.23076923076923, Chaotic: 70.0, Goal: 19.0, Queue: 18.0, tick: 376.0, run: 1
Student: 43.53333333333333, Chaotic: 66.0, Goal: 22.0, Queue: 25.0, tick: 391.0, run: 1
Student: 29.357142857142858, Chaotic: 31.0, Goal: 24.0, Queue: 32.0, tick: 406.0, run: 1
Student: 29.733333333333334, Chaotic: 34.0, Goal: 28.0, Queue: 26.0, tick: 421.0, run: 1
Student: 33.20000000000001, Chaotic: 40.0, Goal: 26.0, Queue: 30.0, tick: 436.0, run: 1
Student: 31.133333333333333, Chaotic: 41.0, Goal: 28.0, Queue: 25.0, tick: 451.0, run: 1
Student: 32.00000000000001, Chaotic: 46.0, Goal: 31.0, Queue: 21.0, tick: 466.0, run: 1
Student: 32.8125, Chaotic: 42.0, Goal: 35.0, Queue: 25.0, tick: 481.0, run: 1
Student: 26.866666666666664, Chaotic: 26.0, Goal: 38.0, Queue: 21.0, tick: 496.0, run: 1
Student: 27.375, Chaotic: 27.0, Goal: 42.0, Queue: 18.0, tick: 511.0, run: 1
Student: 30.750000000000004, Chaotic: 32.0, Goal: 39.0, Queue: 24.0, tick: 526.0, run: 1
Student: 28.875, Chaotic: 28.0, Goal: 42.0, Queue: 22.0, tick: 541.0, run: 1
Student: 30.375000000000004, Chaotic: 31.0, Goal: 37.0, Queue: 27.0, tick: 556.0, run: 1
Student: 31.705882352941178, Chaotic: 29.0, Goal: 39.0, Queue: 31.0, tick: 571.0, run: 1
Student: 29.0625, Chaotic: 32.0, Goal: 19.0, Queue: 29.0, tick: 586.0, run: 1
Student: 29.058823529411764, Chaotic: 37.0, Goal: 20.0, Queue: 25.0, tick: 601.0, run: 1
Student: 30.352941176470587, Chaotic: 37.0, Goal: 21.0, Queue: 30.0, tick: 616.0, run: 1
Student: 28.647058823529413, Chaotic: 41.0, Goal: 17.0, Queue: 26.0, tick: 631.0, run: 1
Student: 29.82352941176471, Chaotic: 45.0, Goal: 21.0, Queue: 22.0, tick: 646.0, run: 1
Student: 27.333333333333336, Chaotic: 49.0, Goal: 7.0, Queue: 26.0, tick: 661.0, run: 1
Student: 25.470588235294116, Chaotic: 41.0, Goal: 11.0, Queue: 29.0, tick: 676.0, run: 1
Student: 25.999999999999996, Chaotic: 42.0, Goal: 15.0, Queue: 24.0, tick: 691.0, run: 1
Student: 26.882352941176467, Chaotic: 43.0, Goal: 19.0, Queue: 17.0, tick: 706.0, run: 1
Student: 29.166666666666668, Chaotic: 45.0, Goal: 18.0, Queue: 20.0, tick: 721.0, run: 1
Student: 30.117647058823525, Chaotic: 50.0, Goal: 18.0, Queue: 15.0, tick: 736.0, run: 1
Student: 30.22222222222222, Chaotic: 54.0, Goal: 20.0, Queue: 11.0, tick: 751.0, run: 1
Student: 33.27777777777778, Chaotic: 58.0, Goal: 23.0, Queue: 13.0, tick: 766.0, run: 1
Student: 34.94736842105263, Chaotic: 60.0, Goal: 18.0, Queue: 16.0, tick: 781.0, run: 1
Student: 40.111111111111114, Chaotic: 62.0, Goal: 12.0, Queue: 20.0, tick: 796.0, run: 1
Student: 43.21052631578948, Chaotic: 65.0, Goal: 13.0, Queue: 22.0, tick: 811.0, run: 1
Student: 47.05263157894737, Chaotic: 71.0, Goal: 8.0, Queue: 24.0, tick: 826.0, run: 1
Student: 36.31578947368421, Chaotic: 55.0, Goal: 9.0, Queue: 24.0, tick: 841.0, run: 1
Student: 36.842105263157904, Chaotic: 58.0, Goal: 10.0, Queue: 28.0, tick: 856.0, run: 1
Student: 36.4, Chaotic: 63.0, Goal: 12.0, Queue: 22.0, tick: 871.0, run: 1
Student: 37.89473684210527, Chaotic: 67.0, Goal: 11.0, Queue: 20.0, tick: 886.0, run: 1
Student: 33.499999999999986, Chaotic: 60.0, Goal: 13.0, Queue: 22.0, tick: 901.0, run: 1
Student: 35.0, Chaotic: 61.0, Goal: 15.0, Queue: 19.0, tick: 916.0, run: 1
Student: 27.899999999999995, Chaotic: 47.0, Goal: 17.0, Queue: 18.0, tick: 931.0, run: 1
Student: 30.049999999999994, Chaotic: 51.0, Goal: 20.0, Queue: 18.0, tick: 946.0, run: 1
